"sample.date","treatment","replicate","disturbed","fertilized","biomass","year","centered.year","log.biomass","fert.code","dist.code"
"8/18/93","T7","R2","disturbed","no.fert",94.33,1993,-7.0958677685951,4.54679927266176,0,1
"8/18/93","T7","R3","disturbed","no.fert",10.655,1993,-7.0958677685951,2.36602926555058,0,1
"8/18/93","T7","R4","disturbed","no.fert",59.9142857142857,1993,-7.0958677685951,4.09291496941251,0,1
"8/18/93","T7","R1","disturbed","fert",66.64,1993,-7.0958677685951,4.19930499785859,1,1
"8/18/93","T7","R2","disturbed","fert",150.451666666667,1993,-7.0958677685951,5.01364188089217,1,1
"8/18/93","T7","R3","disturbed","fert",112.492,1993,-7.0958677685951,4.72288210800485,1,1
"8/18/93","T7","R4","disturbed","fert",107.515714285714,1993,-7.0958677685951,4.67763701628654,1,1
"8/18/94","T7","R1","disturbed","no.fert",29.24625,1994,-6.0958677685951,3.37575136033068,0,1
"8/18/94","T7","R5","disturbed","no.fert",286.46,1994,-6.0958677685951,5.65759891035172,0,1
"8/18/94","T7","R6","disturbed","no.fert",42.8422222222222,1994,-6.0958677685951,3.7575241168351,0,1
"8/18/94","T7","R1","disturbed","fert",53.2066666666667,1994,-6.0958677685951,3.97418370177975,1,1
"8/18/94","T7","R5","disturbed","fert",253.88,1994,-6.0958677685951,5.53686171443827,1,1
"8/18/94","T7","R6","disturbed","fert",87.38,1994,-6.0958677685951,4.47026642352329,1,1
"8/18/95","T7","R1","not.disturbed","no.fert",21.4841666666667,1995,-5.0958677685951,3.06731622972429,0,0
"8/18/95","T7","R3","not.disturbed","no.fert",27.59,1995,-5.0958677685951,3.31745338822919,0,0
"8/18/95","T7","R6","not.disturbed","no.fert",62.73,1995,-5.0958677685951,4.13883980210865,0,0
"8/18/95","T7","R1","not.disturbed","fert",60.8544444444444,1995,-5.0958677685951,4.10848485611624,1,0
"8/18/95","T7","R3","not.disturbed","fert",80.5746666666667,1995,-5.0958677685951,4.38918429076048,1,0
"8/18/95","T7","R6","not.disturbed","fert",35.6661538461538,1995,-5.0958677685951,3.57420216754521,1,0
"8/2/10","T7","R1","not.disturbed","no.fert",28.44,2010,9.9041322314049,3.34779660493504,0,0
"8/2/10","T7","R2","not.disturbed","no.fert",71.0135714285714,2010,9.9041322314049,4.26287100565637,0,0
"8/2/10","T7","R3","not.disturbed","no.fert",68.541,2010,9.9041322314049,4.22743210636046,0,0
"8/2/10","T7","R4","not.disturbed","no.fert",115.221111111111,2010,9.9041322314049,4.74685298764527,0,0
"8/2/10","T7","R5","not.disturbed","no.fert",55.1169230769231,2010,9.9041322314049,4.00945680288536,0,0
"8/2/10","T7","R6","not.disturbed","no.fert",15.57625,2010,9.9041322314049,2.74574731827494,0,0
"8/2/10","T7","R1","not.disturbed","fert",135.007142857143,2010,9.9041322314049,4.90532768709165,1,0
"8/2/10","T7","R2","not.disturbed","fert",115.430909090909,2010,9.9041322314049,4.74867216128592,1,0
"8/2/10","T7","R3","not.disturbed","fert",128.263333333333,2010,9.9041322314049,4.85408544225977,1,0
"8/2/10","T7","R4","not.disturbed","fert",75.2452941176471,2010,9.9041322314049,4.32075336503092,1,0
"8/2/10","T7","R5","not.disturbed","fert",61.823,2010,9.9041322314049,4.124275463511,1,0
"8/2/10","T7","R6","not.disturbed","fert",83.5041666666667,2010,9.9041322314049,4.42489653081144,1,0
"8/2/11","T7","R1","not.disturbed","no.fert",36.8066666666667,2011,10.9041322314049,3.60567898818779,0,0
"8/2/11","T7","R2","not.disturbed","no.fert",48.9823529411765,2011,10.9041322314049,3.89146008918556,0,0
