"WaterbodyID","Year","doy","CenterLatitude","Temperature","pH","lwTN","lwTP","pa"
1613,1975,153,47.8893055,13.65,7.73333333333333,1.77155676191054,-0.621136644583675,0
1613,1975,203,47.8893055,21.08,7.99,1.90508815453506,-0.71375813446407,0
1613,1975,252,47.8893055,15.35,8.20833333333333,1.84792974069511,-0.153540357778323,1
1613,1975,296,47.8893055,9.6,7.1,1.49962304642689,-0.652389188087778,0
1703,1973,130,40.654583,16.4285714285714,8.25714285714286,4.70646243746996,1.05421231847897,0
1703,1973,220,40.654583,27.6125,8.24,4.7102146517074,0.109750863959119,0
1703,1973,289,40.654583,18.9666666666667,8.35555555555556,3.89498987287191,0.277042337347437,1
1706,1973,127,38.6723146666667,16.25,8.07857142857143,3.36245655334572,1.02206520840978,0
1706,1973,221,38.6723146666667,27.0733333333333,7.75,3.35884644112162,0.954664813659297,0
1706,1973,290,38.6723146666667,17.8777777777778,8.13333333333333,3.34160463468712,1.04196342733717,0
1708,1973,126,39.4638885,15.275,8.1,4.78088664372991,1.24249615899669,0
1708,1973,220,39.4638885,25.85,7.95,4.33007522904178,1.62609835332721,0
1711,1973,126,39.0574076666667,18.7214285714286,7.85714285714286,2.58475198475772,0.209739835815035,0
1711,1973,221,39.0574076666667,31.7363636363636,7.69090909090909,2.53470640515878,0.154202626529952,1
1711,1973,290,39.0574076666667,22.6153846153846,7.81538461538462,2.31588092575101,0.526547538076833,1
1712,1973,127,37.7152776666667,18.1888888888889,8.15555555555556,2.46734595193332,1.18757238295816,1
1712,1973,219,37.7152776666667,28.9,8.1875,3.45718381270218,1.56804283706771,1
1712,1973,291,37.7152776666667,20,7.81666666666667,2.6686161318568,1.2668067484973,1
1714,1973,127,39.8419446666667,15.45,8.225,4.68108901754578,1.34953312098177,0
1714,1973,220,39.8419446666667,26.9714285714286,8,4.20528945617383,1.24217651699301,0
1714,1973,290,39.8419446666667,17.95,8.1,2.99205886818768,1.49024137825921,0
1725,1973,128,42.3763885,13.9333333333333,8.26666666666667,3.35608378396515,2.00617616316232,0
1725,1973,218,42.3763885,25.35,8.88333333333333,3.47558309302055,3.14630513203337,1
1725,1973,288,42.3763885,17.35,8.525,3.85515631373904,3.19217038790532,1
1726,1973,131,39.2230555,17.9583333333333,7.68333333333333,3.64244276834035,2.20012776640901,0
1726,1973,221,39.2230555,26.1181818181818,7.33636363636364,3.52507627786431,1.79969757589528,0
1726,1973,290,39.2230555,17.6,7.59090909090909,3.19189696444014,1.53383231590411,0
1727,1973,128,42.4702775,13.9,8.04,2.89833992754534,1.13339991455296,1
1727,1973,218,42.4702775,25.1142857142857,8.46,3.27032910645712,0.558700729397031,1
1727,1973,288,42.4702775,15.84,8.54,3.43836470600359,2.18222373632286,1
1733,1973,128,42.384583,14.575,8.4,2.99498199216329,1.4995114330555,1
1733,1973,218,42.384583,24.8666666666667,8.7,3.72874098753907,2.13203399179901,1
1733,1973,288,42.384583,15.7,8.8,3.299164656097,1.90382247294555,1
1735,1973,127,38.10118075,17.7083333333333,7.96666666666667,2.37877423135159,0.913453169800087,0
1735,1973,219,38.10118075,28.2636363636364,7.47272727272727,3.10792394907392,0.675122063465163,1
1735,1973,291,38.10118075,18.24,7.64,2.88121888676523,0.705223961785394,0
1739,1973,127,39.4914351666667,15.2571428571429,8.25172413793103,4.51599220027306,1.18510622510349,0
1739,1973,220,39.4914351666667,25.8533333333333,7.89666666666667,4.03149942132138,0.505290332267314,1
1739,1973,290,39.4914351666667,19.75,7.73333333333333,3.56375705107079,0.66228679868657,1
1740,1973,126,38.788426,16.7111111111111,7.53333333333333,3.21442147451882,2.03517031836637,0
1740,1973,221,38.788426,26.7166666666667,7.375,3.54832344655245,1.78762593794645,1
1740,1973,289,38.788426,18.925,7.7,3.0708397460408,1.19906062645356,0
